Platform,Country,KPI,Investment Platform Weighting,Servicing Platform Weighting
Eagle Street & BCC UK,UK,Ensure BP exits achieved,0.25,0.25
Eagle Street & BCC UK,UK,Ensure BP milestones met (e.g. planning/CAPEX/Leasing ...) for all deal not expected to be sold,0.25,0.25
Eagle Street & BCC UK,UK,"Implement company restructuring - rationalise resources on run-off business, strengthen retail AM team, technical team, origination capabilities",0.25,0.25
Eagle Street & BCC UK,UK,"Introduce disciplined AM practices, governance, accountability - develop ESP as capable autonomous entity requiring substantially less group oversight",0.25,0.25
Eagle Street & BCC UK,UK,Mentor WB to prepare him for increased responsibility for ESP,0.25,0.25
Eagle Street & BCC UK,UK,Role transition to part time Executive,0.25,0.25
Italy Combined,IT,Complete the Borio acquisition and progress with the Borio integration,0.25,0.25
Italy Combined,IT,Reduce EI cost basis as requested by YE,0.25,0.25
Italy Combined,IT,Achieve the PM collection budget and take all agreed PM actions to safeguard future collections,0.25,0.25
Italy Combined,IT,Set up a viable Italian lending business platform,0.25,0.25
Italy Combined,IT,"VESTING: contribute to the sale of the platform (or its stabilisation, absent sale)",0.25,0.25
EI,IT,Grow the Lending business in Italy in an efficient fashion,0.25,0.25
EI,IT,Reduce the overall cost of EI by carrying out re-structuring actions agreed with Group,0.25,0.25
EI,IT,Ensure that agreed PM 2026 actions are on track to safeguard future collections,0.25,0.25
EI,IT,Ensure that EI's managers are all aligned with the objectives of the scorecard,0.25,0.25
EI,IT,Cooperate with iQera to cross-pollinate the business and insource services wherever possible,0.25,0.25
Borio PM,IT,Complete the Borio acquisition,0.25,0.25
Borio PM,IT,Facilitate the integration of Borio (REIM & GC) within the Group,0.25,0.25
Borio PM,IT,Ensure that agreed Asset Management 2026 actions are on track to safeguard future collections,0.25,0.25
Borio PM,IT,Continue to build up local investment and asset management capabilities,0.25,0.25
Borio PM,IT,Cooperate with iQera to cross-pollinate the business and insource services wherever possible,0.25,0.25
Interboden,GER,Establish lending and credit capabilities,0.25,0.25
Interboden,GER,"Increase local presence by establishing offices / representations in Frankfurt, Munich and Hamburg in addition to Berlin and Düsseldorf",0.25,0.25
Interboden,GER,"Increase capabilities for hospitality, serviced apartments and PBSA either",0.25,0.25
Interboden,GER,"Eliminate missing manpower / capabilities in construction execution, sales and asset management",0.25,0.25
Interboden,GER,Increase acquisition efficiency,0.25,0.25
Mars Ireland,IRE,Arrow Investments: Ensure Acorn and Lille are adequately resourced and continue to meet or exceed Business Plan targets,0.25,0.25
Mars Ireland,IRE,Efficiency / Transformation: Deliver Beacon 2026 plan to restructure operating model to reduce cost base to agreed 2026 YE targets within risk appetite,0.25,0.25
Mars Ireland,IRE,Revenue: Measurable progress made on strategic growth initiatives in 2026,0.25,0.25
Mars Ireland,IRE,Customer: Improve Customer service and experience over 2026 including decreasing errors and decreasing upheld customer complaints with improved customer service levels and the successful implementation of the revised Consumer Protection Code (CPC 2025).,0.25,0.25
Mars Ireland,IRE,Risk and Compliance: Reduce enterprise risk by normalising KRIs and BAU risk metrics in H1 2026 and returning enterprise risk profile to Amber with a clear path to green,0.25,0.25
Mars Ireland,IRE,Regulatory: Manage CBI relationship carefully to rebuild trust and steer regulatory relationship with the CBI back to a BAU setting.,0.25,0.25
Mars Ireland,IRE,AI: Develop and implement Mars AI strategy aligned with Group AI strategy and lay foundation for an Agentic AI servicing business. Work closely with Mantle team to ensure agreed Beacon / Mantle 2026 goals are delivered on schedule.,0.25,0.25
Mars Ireland,IRE,People: New organisation structure implemented with a high performing Executive team in place to drive the Mars and Arrow strategic agenda with succession and development plans in place.,0.25,0.25
Portugal,PT,"Deliver on the execution of the Business Plans for the Fund's existing investments - implement the re-shaping in the RE vertical, including the integration of Transfor and Engexpor in the perimeter. Adapt resources, improve governance, adjust rate card. Deliver on key AM milestones for RE development projects",0.25,0.25
Portugal,PT,Reshape Whitestar to reflect market conditions,0.25,0.25
Portugal,PT,"Consolidate the mix of brands and respective market approach - AGPT vs platforms - strengthening the transversal principles that unify us as Arrow Global Portugal, driving collective success while respecting the individuality of each company and its key drivers of success.",0.25,0.25
Portugal,PT,"Lead the roll out of Arrow in Spain, achieving deployment of €338m (Maslow runs pretty much on its own - €99m)",0.25,0.25
Portugal,PT,Hit the realisation target not just as a number but with the right mix of positions,0.25,0.25
Portugal,PT,Create an hospitality AM business out of Details,0.25,0.25
Sagitta,IT,AGG capital deployment support - means the availability and flexibility to accommodate fee reduction for Arrow only funds,0,0.25
Sagitta,IT,Support AG group to structure the Italian Lending Platform accordingly to AG needs/proposals.,0,0.25
Sagitta,IT,Develop Advisory revenues for Third Party clients,0,0.25
Sagitta,IT,RISK: risk profile of the funds or of the portfolio under management substantially aligned,0,0.25
