Output generated,2026-06-02 10:13,,
Period applied,2026-Q1,,
Capital rows,7,,
Realisations rows,7,,
EBITDA rows,8,,
EBITDA Margin rows,8,,
Revenue rows,13,,
Business Performance & ESG rows,32,,
Platform Performance rows,8,,
,,,
Source file,Source sheet,KPI/section,Platform/entity
Performance Scorecard_Eagle Street vF.xlsx,Combined,Committed Capital,Eagle Street & BCC
Performance Scorecard_Eagle Street vF.xlsx,Combined,Realisations,Eagle Street & BCC
Performance Scorecard_Eagle Street vF.xlsx,Combined,EBITDA,Eagle Street & BCC
Performance Scorecard_Eagle Street vF.xlsx,Combined,EBITDA Margin,Eagle Street & BCC
Performance Scorecard_Eagle Street vF.xlsx,Combined,Revenue Budget 2026 section,Eagle Street & BCC
Performance Scorecard_EI_Borio_Italy vF.xlsx,Combined - Marco,Committed Capital,Italy Combined
Performance Scorecard_EI_Borio_Italy vF.xlsx,Combined - Marco,Realisations,Italy Combined
Performance Scorecard_EI_Borio_Italy vF.xlsx,Combined - Marco,EBITDA,Italy Combined
Performance Scorecard_EI_Borio_Italy vF.xlsx,Combined - Marco,EBITDA Margin,Italy Combined
Performance Scorecard_EI_Borio_Italy vF.xlsx,Combined - Marco,Revenue Budget 2026 section,EI
Performance Scorecard_EI_Borio_Italy vF.xlsx,Combined - Marco,Revenue Budget 2026 section,Borio PM
Performance Scorecard_EI_Borio_Italy vF.xlsx,Combined - Marco,Revenue Budget 2026 section,Sagitta
Performance Scorecard_EI_Borio_Italy vF.xlsx,EI - Daniele,Committed Capital,EI
Performance Scorecard_EI_Borio_Italy vF.xlsx,EI - Daniele,Realisations,EI
Performance Scorecard_EI_Borio_Italy vF.xlsx,EI - Daniele,EBITDA,EI
Performance Scorecard_EI_Borio_Italy vF.xlsx,EI - Daniele,EBITDA Margin,EI
Performance Scorecard_EI_Borio_Italy vF.xlsx,Borio - Donato,Committed Capital,Borio PM
Performance Scorecard_EI_Borio_Italy vF.xlsx,Borio - Donato,Realisations,Borio PM
Performance Scorecard_EI_Borio_Italy vF.xlsx,Borio - Donato,EBITDA,Borio PM
Performance Scorecard_EI_Borio_Italy vF.xlsx,Borio - Donato,EBITDA Margin,Borio PM
Performance Scorecard_Germany vf.xlsx,Combined,Committed Capital,Interboden
Performance Scorecard_Germany vf.xlsx,Combined,Realisations,Interboden
Performance Scorecard_Germany vf.xlsx,Combined,EBITDA,Interboden
Performance Scorecard_Germany vf.xlsx,Combined,EBITDA Margin,Interboden
Performance Scorecard_Germany vf.xlsx,Combined,Revenue Budget 2026 section,Interboden
Performance Scorecard_Mars_vF.xlsx,Combined,Committed Capital,Mars Ireland
Performance Scorecard_Mars_vF.xlsx,Combined,Realisations,Mars Ireland
Performance Scorecard_Mars_vF.xlsx,Combined,EBITDA,Mars Ireland
Performance Scorecard_Mars_vF.xlsx,Combined,EBITDA Margin,Mars Ireland
Performance Scorecard_Mars_vF.xlsx,Combined,Revenue Budget 2026 section,Mars Ireland
Performance Scorecard_Portugal vF.xlsx,Combined,Committed Capital,Portugal
Performance Scorecard_Portugal vF.xlsx,Combined,Realisations,Portugal
Performance Scorecard_Portugal vF.xlsx,Combined,EBITDA,Portugal
Performance Scorecard_Portugal vF.xlsx,Combined,EBITDA Margin,Portugal
Performance Scorecard_Portugal vF.xlsx,Combined,Revenue Budget 2026 section,Norfin
Performance Scorecard_Portugal vF.xlsx,Combined,Revenue Budget 2026 section,Restart
Performance Scorecard_Portugal vF.xlsx,Combined,Revenue Budget 2026 section,Whitestar PT
Performance Scorecard_Portugal vF.xlsx,Combined,Revenue Budget 2026 section,Details
Performance Scorecard_Portugal vF.xlsx,Combined,Revenue Budget 2026 section,Nexor
Performance Scorecard_Portugal vF.xlsx,Combined,Revenue Budget 2026 section,From Advisory
Performance Scorecard_Portugal vF.xlsx,Combined,Revenue Budget 2026 section,Maslow PT
Performance Scorecard_Sagitta vF.xlsx,Sagitta,EBITDA,Sagitta
Performance Scorecard_Sagitta vF.xlsx,Sagitta,EBITDA Margin,Sagitta
Performance Scorecard_Sagitta vF.xlsx,Sagitta,Revenue Budget 2026 section,Sagitta
